"","Resultado_partida","P_time1","P_time2","NV_time1","NV_time2","NE_time1","NE_time2","ND_time1","ND_time2","NVC_time1","NEC_time1","NDC_time1","NVF_time1","NEF_time1","NDF_time1","NVC_time2","NEC_time2","NDC_time2","NVF_time2","NEF_time2","NDF_time2","GF_time1","GF_time2","GC_time1","GC_time2","SG_time1","SG_time2"
"1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2,0,3,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,2,0,-2,4
"12",2,0,3,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,4,2,-4,4
"13",2,0,3,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,4,3,1,-1,3
"14",2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,-1,0
"15",0,1,3,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,1,2,0,1
